Scheme,Question,Answer
Agriculture Infrastructure Fund,What is the purpose of the Central Sector Scheme for financing infrastructure under the Agriculture Infrastructure Fund?,The purpose of the Central Sector Scheme for financing infrastructure under the Agriculture Infrastructure Fund is to mobilize a medium to long-term debt financing facility for investment in viable projects related to post-harvest management infrastructure and community farming assets through incentives and financial support to improve agriculture infrastructure in the country.
Agriculture Infrastructure Fund,"Who announced the Agri Infrastructure Fund, and when was it announced?",The Agri Infrastructure Fund was announced by the Hon’ble Finance Minister on 15.05.2020.
Agriculture Infrastructure Fund,What is the funding amount allocated for the Agri Infrastructure Fund?,The funding amount allocated for the Agri Infrastructure Fund is Rs. 1 lakh crore.
Agriculture Infrastructure Fund,What are the main objectives of the Central Sector Scheme for financing infrastructure under the Agriculture Infrastructure Fund?,"The main objectives of the Central Sector Scheme for financing infrastructure under the Agriculture Infrastructure Fund are to improve marketing infrastructure, reduce post-harvest losses, increase access to markets for farmers, initiate innovation and private sector investment in agriculture, reduce national food wastage, and enable the agriculture sector to become competitive globally."
Agriculture Infrastructure Fund,Who are the eligible beneficiaries under the financing facility?,"Eligible beneficiaries under the financing facility include Primary Agricultural Credit Societies (PACS), Marketing Cooperative Societies, Farmer Producers Organizations (FPOs), Self Help Group (SHG), Farmers, Joint Liability Groups (JLG), Multipurpose Cooperative Societies, Agri-entrepreneurs, Startups, and Central/State agency or Local Body sponsored Public Private Partnership Projects."
Agriculture Infrastructure Fund,What types of projects are facilitated under the scheme?,"Projects facilitated under the Central Sector Scheme for financing infrastructure under the Agriculture Infrastructure Fund include setting up and modernization of post-harvest management projects such as supply chain services, warehouses, silos, pack houses, cold chains, logistics facilities, and primary processing centers. Additionally, projects for building community farming assets like organic inputs production, bio stimulant production units, and infrastructure for smart and precision agriculture are also included."
Agriculture Infrastructure Fund,How long will the scheme be operational?,The Central Sector Scheme for financing infrastructure under the Agriculture Infrastructure Fund will be operational from 2020-21 to 2029-30.
Agriculture Infrastructure Fund,What is the role of the District Level Monitoring Committee (DLMC)?,"The District Level Monitoring Committee (DLMC) is responsible for the first-line implementation and monitoring of the Central Sector Scheme for financing infrastructure under the Agriculture Infrastructure Fund within the overall framework. It identifies beneficiaries, ensures project viability, prepares viable project reports, monitors progress, maintains the dashboard, resolves implementation issues at the district level, and is supported by the district administration in resolving implementation issues."
Agriculture Infrastructure Fund,How is budgetary support provided for the scheme?,"Budgetary support for the Central Sector Scheme for financing infrastructure under the Agriculture Infrastructure Fund is provided for interest subvention, credit guarantee fee, and administrative costs of the Project Management Unit (PMU)."
Agriculture Infrastructure Fund,What is the mechanism for disbursal of funds to beneficiaries under the scheme?,Disbursal of funds by lending entities to beneficiaries under the Central Sector Scheme for financing infrastructure under the Agriculture Infrastructure Fund is through Aadhaar linked bank accounts.
Agriculture Infrastructure Fund,What is the size of the financing facility provided by banks and financial institutions?,The size of the financing facility provided by banks and financial institutions for the Central Sector Scheme for financing infrastructure under the Agriculture Infrastructure Fund is Rs. 1 lakh crore.
Agriculture Infrastructure Fund,How is the scheme monitored at different levels?,"The Central Sector Scheme for financing infrastructure under the Agriculture Infrastructure Fund is monitored at the National, State, and District levels by respective Monitoring Committees, which ensure real-time monitoring and provide effective feedback about the implementation of the scheme. Additionally, an Output and Outcome Monitoring Framework (OOMF) is part of the monitoring system to periodically monitor outcome indicators."
PM-KISAN SCHEME,What is the name of the scheme that provides income support to landholding farmer families?,The scheme is called PM Kisan.
PM-KISAN SCHEME,When did the PM Kisan scheme become operational?,The PM Kisan scheme became operational from 1.12.2018.
PM-KISAN SCHEME,What is the amount of income support provided to eligible farmer families under the PM Kisan scheme?,"Eligible farmer families receive an income support of 6,000/- per year in three equal installments under the PM Kisan scheme."
PM-KISAN SCHEME,Who is considered as a part of the family for the PM Kisan scheme?,"For the PM Kisan scheme, the family consists of the husband, wife, and minor children."
PM-KISAN SCHEME,How are beneficiaries identified for the PM Kisan scheme?,Beneficiaries for the PM Kisan scheme are identified by the State Government and UT administration according to the scheme guidelines.
PM-KISAN SCHEME,How are the funds disbursed to the beneficiaries under the PM Kisan scheme?,The funds under the PM Kisan scheme are directly transferred to the bank accounts of the beneficiaries.
PM-KISAN SCHEME,What are the exclusion categories for the PM Kisan scheme?,"The exclusion categories for the PM Kisan scheme include:\r\n1. All Institutional Land holders.\r\n2. Farmer families belonging to specific categories such as holders of constitutional posts, ministers, Members of Parliament/Legislative Assemblies, Mayors, etc.\r\n3. Serving or retired officers and employees of Central/State Government Ministries/Offices/Departments and its field units, as well as employees of Local Bodies.\r\n4. Superannuated/retired pensioners whose monthly pension is Rs.10,000/- or more.\r\n5. Individuals who paid Income Tax in the last assessment year.\r\n6. Professionals like Doctors, Engineers, Lawyers, Chartered Accountants, and Architects registered with Professional bodies."
PM-KISAN SCHEME,Can you give examples of excluded categories under the PM Kisan scheme?,"Examples of excluded categories under the PM Kisan scheme include individuals holding constitutional posts, serving or retired government officers, pensioners with monthly pensions exceeding Rs.10,000/-, individuals who paid Income Tax in the last assessment year, and certain professionals registered with professional bodies."
PM-KISAN SCHEME,How does the PM Kisan scheme ensure that individuals of higher economic status are not included as beneficiaries?,"The PM Kisan scheme ensures that individuals of higher economic status are not included as beneficiaries by implementing exclusion categories based on specific criteria such as institutional landholding, occupation, and income level."
PM-KISAN SCHEME,What role do State Governments and UT administrations play in implementing the PM Kisan scheme?,"State Governments and UT administrations play a crucial role in implementing the PM Kisan scheme by identifying eligible farmer families, ensuring compliance with scheme guidelines, and facilitating the direct transfer of funds to beneficiaries' bank accounts."
PM-KISAN SCHEME,What is the funding source for the PM Kisan scheme?,The PM Kisan scheme receives 100% funding from the Government of India.
ATMA,"What is the objective of the 'Support to State Extension Programmes for Extension Reforms' scheme, also known as ATMA Scheme?","The objective of the ATMA Scheme is to make the extension system farmer-driven and farmer-accountable by disseminating technology to farmers through new institutional arrangements such as Agricultural Technology Management Agency (ATMA) at the district level, promoting participatory extension reforms."
ATMA,What are the key extension reforms focused on under the ATMA Scheme?,"The key extension reforms focused on under the ATMA Scheme include:\r\n- Encouraging multi-agency extension strategies involving Public/Private Extension Service Providers.\r\n- Ensuring an integrated, broad-based extension delivery mechanism consistent with a farming system approach, emphasizing bottom-up planning.\r\n- Adopting a group approach to extension by forming CIGs & FIGs and consolidating them as Farmers Producer Organizations.\r\n- Facilitating convergence of farmer-centric programs and addressing gender concerns by mobilizing farm women into groups and providing training to them."
ATMA,"When was the ATMA Scheme initiated, and how many districts and states/UTs are covered under it?","The ATMA Scheme was initiated in 2005, and currently, it covers 691 districts of 28 states & 5 UTs."
ATMA,What extension activities are supported under the ATMA Scheme?,"The extension activities supported under the ATMA Scheme include farmers training, demonstrations, exposure visits, Kisan Melas, mobilization of farmers groups, and organizing farm schools, among others."
ATMA,What is the aim of the skill training program introduced by the Ministry of Agriculture & Farmers’ Welfare?,The aim of the skill training program introduced by the Ministry of Agriculture & Farmers’ Welfare is to impart training to rural youth and farmers in various vocational areas related to agriculture and allied sectors.
ATMA,"How long is the duration of the skill training program, and where are these courses conducted?","The skill training program has a minimum duration of 200 hours and is conducted through National Training Institutes, State Level Training Institutes (SAMETIs), Krishi Vigyan Kendras, and State Agricultural Universities."
ATMA,What areas are covered under the skill training program?,"The major areas covered under the skill training program include mushroom production, bee-keeping, micro-irrigation, maintenance and repair of farm equipment, nursery management, organic grower, vermi-compost production, animal husbandry, dairying, poultry, fishery, among others."
ATMA,What is the 'Skill Training of Rural Youth' (STRY) component of the 'Sub Mission on Agriculture Extension' (SMAE)?,The 'Skill Training of Rural Youth' (STRY) is a short-term skill training program of 7 days imparted to rural youth and farmers on specific vocational areas in agriculture and allied sectors through public and private/Non-Governmental training institutes.
ATMA,"How many Krishi Vigyan Kendras (KVKs) have been set up by the government, and what is their mandate?",The government has set up 727 Krishi Vigyan Kendras (KVKs) with the mandate of technology assessment and demonstration for its application and capacity development in agriculture and allied sectors.
ATMA,How much expenditure is incurred on women farmers and women extension functionaries under the ATMA Scheme?,The Guidelines of the ATMA Scheme stipulate that states and other implementing agencies should incur 30% expenditure on women farmers and women extension functionaries.
ATMA,"What is the total amount released for extension activities under the ATMA Scheme in the last five years, and how many farmers have benefited from it?","In the last five years, an amount of Rs. 2795.68 crore was released for extension activities under the ATMA Scheme, benefiting a total of 2,10,59,707 farmers, out of which 53,11,274 are women farmers."
